AQ,OHG,General Bernardo O'higgins,General Bernardo O'higgins,6319S 05754W
AQ,GWL,Great Wall,Great Wall,6213S 05858W
AQ,HLY,Halley,Halley,7534S 02632W
AQ,JBS,Jang Bogo Station,Jang Bogo Station,7436S 16412E
AQ,JCP,Juan Carlos Primero,Juan Carlos Primero,6239S 06023W
AQ,JUB,Jubany,Jubany,6214S 05839W
AQ,KSG,King Sejong,King Sejong,6213S 05847W
AQ,KHN,Kohnen,Kohnen,7500S 00004E
AQ,LAW,Law Base,Law Base,6923S 07623E
AQ,MTR,Maitri,Maitri,7045S 01144E
AQ,MRB,Marambio,Marambio,6414S 05639W
AQ,MZU,Mario Zucchelli,Mario Zucchelli,7441S 16407E
AQ,MAW,Mawson Station,Mawson Station,6736S 06252E
AQ,MCM,McMurdo,McMurdo,7750S 16640E
AQ,MIR,Mirny,Mirny,6633S 09300E
AQ,NEU,Neumayer,Neumayer,7038S 00815W
AQ,NOV,Novolazarevskaya,Novolazarevskaya,7046S 01151E
AQ,ORC,Orcadas,Orcadas,6044S 04444W
AQ,PLM,Palmer,Palmer,6446S 06403W
AQ,PFS,Port Foster,Port Foster,6300S 06034W
AQ,PRO,Progress,Progress,6924S 07623E
AQ,ROT,Rothera,Rothera,6734S 06807W
AQ,SMT,San Martín,San Martin,6807S 06706W
AQ,SNA,SANAE IV,SANAE IV,7140S 00249W
AQ,SBA,Scott Base,Scott Base,7751S 16645E
AQ,SGN,Signy,Signy,6043S 04536W
AQ,SYW,Syowa,Syowa,6900S 03935E
AQ,TNM,Teniente R. Marsh,Teniente R. Marsh,6213S 05855W
AQ,TOR,Tor,Tor,7153S 00509E
AQ,TRL,Troll,Troll,7200S 00232E
AQ,VKY,Vernadsky,Vernadsky,6514S 06415W
AQ,VOS,Vostok,Vostok,7828S 10648E
AQ,WSA,Wasa,Wasa,7303S 01325W
AQ,ZGN,Zhongshan,Zhongshan,6922S 07623E
AR,,.ARGENTINA,,
AR,ABA,Abasto,Abasto,3458S 05805W
AR,ACA,Acaraguá,Acaragua,2728S 05507W
AR,ACS,Acassuso,Acassuso,3429S 05831W
AR,AVD,Acevedo,Acevedo,3344S 06027W
AR,AC5,Acheral,Acheral,2707S 06527W
AR,AMA,Adelia María,Adelia Maria,3337S 06402W
AR,GEO,Agrelo,Agrelo,3307S 06853W
AR,AGS,Aguilares,Aguilares,2726S 06537W
AR,AIM,Aimogasta,Aimogasta,2843S 06649W
AR,ALN,Albardón,Albardon,3126S 06831W
AR,ALI,Alberti,Alberti,3502S 06017W
AR,AEA,Aldea Escolar,Aldea Escolar,4308S 07133W
AR,ADS,Alderetes,Alderetes,2649S 06508W
AR,ALL,Allen,Allen,3859S 06749W
